year	corps	regiments	kicks	NCOs	drowned	falls
1875	G	8	0	0	3	0
1875	I	6	0	0	5	0
1875	II	4	0	0	6	0
1875	III	4	0	0	7	1
1875	IV	4	0	0	7	0
1875	V	4	0	0	11	0
1875	VI	5	0	0	5	2
1875	VII	4	1	0	7	0
1875	VIII	4	1	0	5	1
1875	IX	4	0	0	12	1
1875	X	4	0	0	4	0
1875	XI	6	0	0	6	0
1875	XIV	4	1	0	1	1
1875	XV	4	0	0	4	1
1876	G	8	2	2	7	0
1876	I	6	0	0	4	0
1876	II	4	0	0	9	0
1876	III	4	0	0	10	0
1876	IV	4	1	0	8	0
1876	V	4	0	0	7	0
1876	VI	5	0	0	9	0
1876	VII	4	0	0	6	0
1876	VIII	4	0	0	7	0
1876	IX	4	0	0	7	0
1876	X	4	0	0	4	0
1876	XI	6	0	0	8	0
1876	XIV	4	1	1	3	0
1876	XV	4	1	0	11	1
1877	G	8	2	0	7	0
1877	I	6	0	0	8	1
1877	II	4	0	0	7	1
1877	III	4	0	0	12	0
1877	IV	4	0	0	3	0
1877	V	4	0	0	7	0
1877	VI	5	1	0	7	0
1877	VII	4	1	0	2	0
1877	VIII	4	0	0	3	0
1877	IX	4	0	0	3	0
1877	X	4	1	0	7	0
1877	XI	6	0	0	6	1
1877	XIV	4	2	0	1	1
1877	XV	4	0	0	8	0
1878	G	8	1	0	3	0
1878	I	6	2	0	9	0
1878	II	4	2	0	10	0
1878	III	4	1	0	7	0
1878	IV	4	1	0	4	1
1878	V	4	0	0	4	1
1878	VI	5	0	0	3	1
1878	VII	4	0	0	5	1
1878	VIII	4	0	0	5	0
1878	IX	4	0	0	6	0
1878	X	4	1	0	5	1
1878	XI	6	0	0	3	0
1878	XIV	4	1	0	3	0
1878	XV	4	0	0	2	0
1879	G	8	0	0	5	1
1879	I	6	0	0	7	1
1879	II	4	0	0	10	0
1879	III	4	1	0	7	0
1879	IV	4	1	0	5	0
1879	V	4	2	0	2	1
1879	VI	5	2	0	8	1
1879	VII	4	0	0	4	0
1879	VIII	4	1	1	5	1
1879	IX	4	0	0	6	0
1879	X	4	0	0	3	0
1879	XI	6	2	0	3	0
1879	XIV	4	1	0	1	0
1879	XV	4	0	0	3	3
1880	G	8	0	0	4	0
1880	I	6	3	0	3	0
1880	II	4	2	0	6	0
1880	III	4	1	0	8	0
1880	IV	4	1	0	3	0
1880	V	4	1	0	3	1
1880	VI	5	0	0	8	0
1880	VII	4	0	0	7	0
1880	VIII	4	0	0	4	0
1880	IX	4	2	0	4	0
1880	X	4	0	0	12	0
1880	XI	6	1	0	3	0
1880	XIV	4	4	0	3	0
1880	XV	4	3	0	4	0
1881	G	8	1	0	2	0
1881	I	6	0	0	3	0
1881	II	4	0	0	6	2
1881	III	4	2	0	7	0
1881	IV	4	1	0	1	1
1881	V	4	0	0	7	2
1881	VI	5	0	0	1	0
1881	VII	4	1	0	2	0
1881	VIII	4	0	0	0	0
1881	IX	4	1	0	5	0
1881	X	4	0	0	5	1
1881	XI	6	0	0	4	2
1881	XIV	4	0	0	1	0
1881	XV	4	0	0	8	0
1882	G	8	1	0	2	1
1882	I	6	2	0	14	0
1882	II	4	0	0	6	0
1882	III	4	0	0	2	0
1882	IV	4	0	0	4	1
1882	V	4	0	0	2	0
1882	VI	5	1	1	5	0
1882	VII	4	0	0	5	0
1882	VIII	4	1	0	12	1
1882	IX	4	1	1	2	0
1882	X	4	2	0	4	0
1882	XI	6	1	0	4	1
1882	XIV	4	4	0	0	0
1882	XV	4	1	0	5	0
1883	G	8	0	0	4	0
1883	I	6	0	0	10	1
1883	II	4	1	0	4	0
1883	III	4	2	0	13	0
1883	IV	4	0	0	2	1
1883	V	4	1	0	3	0
1883	VI	5	2	0	6	0
1883	VII	4	1	0	2	0
1883	VIII	4	0	0	12	0
1883	IX	4	1	0	4	0
1883	X	4	0	0	6	1
1883	XI	6	3	0	5	1
1883	XIV	4	0	0	1	2
1883	XV	4	0	0	2	1
1884	G	8	3	0	0	1
1884	I	6	0	0	4	1
1884	II	4	1	0	8	0
1884	III	4	0	0	9	0
1884	IV	4	0	0	3	0
1884	V	4	0	0	2	2
1884	VI	5	0	0	3	0
1884	VII	4	1	0	1	1
1884	VIII	4	0	0	8	0
1884	IX	4	0	0	7	0
1884	X	4	2	0	1	0
1884	XI	6	0	0	6	0
1884	XIV	4	1	0	3	0
1884	XV	4	1	0	3	0
